City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Dasoguz,TM,32.0,overcast clouds,41.8363,59.9666,Hotel Erik
2,Severo-Kurilsk,RU,12.6,broken clouds,50.6789,156.125,Kak Doma
4,Punta Arenas,CL,50.0,few clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
7,Bluff,NZ,58.41,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
8,Mantua,IT,46.0,overcast clouds,45.1667,10.7833,Hotel la Favorita
9,Camacha,PT,55.4,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
11,Tuatapere,NZ,67.17,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
12,Bela,IN,54.77,broken clouds,25.9333,81.9833,Raj Bhawan
13,Katsuura,JP,46.4,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
14,Guerrero Negro,MX,61.93,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
16,Yalta,UA,48.0,few clouds,44.5,34.1667,Yalta-Inturist
19,Lompoc,US,55.4,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
20,Nanortalik,GL,21.58,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
27,Petropavl,KZ,21.2,overcast clouds,54.8753,69.1628,Отель GREENWICH
30,Vardo,NO,28.18,overcast clouds,70.3705,31.1107,Vardø Hotel AS
35,Ushuaia,AR,46.4,few clouds,-54.8,-68.3,Albatros Hotel
38,Kirkuk,IQ,55.02,overcast clouds,35.4681,44.3922,Cihad Oteli
39,Kaitangata,NZ,60.01,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
40,Jamestown,US,35.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
42,Borzna,UA,22.08,overcast clouds,51.2546,32.4269,Готель VIRA
46,Inyonga,TZ,63.32,broken clouds,-6.7167,32.0667,Eden Rock Lodge
47,Kapaa,US,68.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
48,Plouzane,FR,46.4,broken clouds,48.3833,-4.6167,Lymina
