City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Castro,-24.7911,-50.0119,76.26,50,0,7.45,BR,clear sky
1,Victor Harbor,-35.5667,138.6167,60.01,98,100,3.0,AU,overcast clouds
2,Hithadhoo,-0.6,73.0833,82.02,76,100,15.1,MV,overcast clouds
3,Talnakh,69.4865,88.3972,-29.07,76,0,3.47,RU,clear sky
4,Tasiilaq,65.6145,-37.6368,32.0,100,75,42.57,GL,snow
5,Kindu,-2.95,25.95,73.53,89,93,2.37,CD,light rain
6,Magadan,59.5667,150.8,2.91,87,88,12.28,RU,overcast clouds
7,Broken Hill,-31.95,141.4333,64.4,68,50,16.11,AU,scattered clouds
8,Kavieng,-2.5744,150.7967,81.82,71,96,2.51,PG,overcast clouds
9,Puro,12.4841,123.3827,78.03,85,4,12.17,PH,clear sky
10,Tari,12.4086,4.4914,93.2,13,88,7.52,NG,overcast clouds
11,Bilma,18.6853,12.9164,73.09,19,31,7.36,NE,scattered clouds
12,Port-Cartier,50.0334,-66.8654,30.99,93,100,3.44,CA,snow
13,Hobart,-42.8794,147.3294,57.99,88,40,7.07,AU,scattered clouds
14,San-Pedro,4.7485,-6.6363,83.08,77,47,9.19,CI,scattered clouds
15,Oussouye,12.485,-16.5469,80.6,47,0,9.22,SN,clear sky
16,Ilhabela,-23.7781,-45.3581,76.6,64,89,3.38,BR,overcast clouds
17,Rikitea,-23.1203,-134.9692,77.47,75,100,13.15,PF,overcast clouds
18,Maceio,-9.6658,-35.7353,89.6,62,20,14.97,BR,few clouds
19,Kodiak,57.79,-152.4072,28.4,59,1,4.61,US,clear sky
20,Tagusao,9.1924,117.8141,77.81,78,100,3.85,PH,overcast clouds
21,Albany,42.6001,-73.9662,36.0,59,75,12.66,US,broken clouds
22,Busselton,-33.65,115.3333,59.0,95,100,1.01,AU,light rain
23,Kijang,35.2442,129.2139,35.6,87,1,4.61,KR,clear sky
24,Hermanus,-34.4187,19.2345,71.01,85,20,3.0,ZA,few clouds
25,Launceston,-41.45,147.1667,57.0,100,90,9.22,AU,overcast clouds
26,Havre-Saint-Pierre,50.2334,-63.5986,32.0,93,90,12.66,CA,snow
27,Carballo,43.213,-8.691,46.99,78,14,1.99,ES,few clouds
28,Qaanaaq,77.484,-69.3632,11.07,88,100,7.56,GL,overcast clouds
29,Wuzhou,23.4833,111.3167,64.98,53,7,1.52,CN,clear sky
30,Upernavik,72.7868,-56.1549,20.59,81,100,6.51,GL,overcast clouds
31,Kobylka,52.3395,21.1959,19.99,72,32,3.0,PL,scattered clouds
32,Tomatlan,19.9333,-105.25,85.12,46,80,2.51,MX,broken clouds
33,Punta Arenas,-53.15,-70.9167,55.4,47,20,6.91,CL,few clouds
34,Gat,31.61,34.7642,62.01,100,17,3.36,IL,few clouds
35,Hambantota,6.1241,81.1185,78.08,83,86,18.9,LK,overcast clouds
36,Hilo,19.7297,-155.09,60.8,72,1,6.91,US,clear sky
37,Dikson,73.5069,80.5464,-29.22,86,43,9.75,RU,scattered clouds
38,Roma,43.2128,-75.4557,28.4,50,90,20.71,US,overcast clouds
39,Gucheng,35.9115,111.3192,46.36,45,64,4.59,CN,broken clouds
40,Kapaa,22.0752,-159.319,59.0,82,1,9.22,US,clear sky
41,Fortuna,40.5982,-124.1573,46.99,100,90,4.61,US,overcast clouds
42,Havoysund,70.9963,24.6622,24.8,74,40,14.97,NO,light snow
43,Uribia,11.7139,-72.266,87.94,47,30,27.31,CO,scattered clouds
44,Asau,46.4333,26.4,30.0,76,100,3.2,RO,overcast clouds
45,Ushuaia,-54.8,-68.3,53.6,50,20,21.85,AR,few clouds
46,Pangnirtung,66.1451,-65.7125,14.0,79,75,2.3,CA,broken clouds
47,Giulianova,42.7612,13.9537,51.01,84,97,3.22,IT,overcast clouds
48,Mar Del Plata,-38.0023,-57.5575,69.8,64,75,16.11,AR,broken clouds
49,Bonavista,48.6499,-53.1147,36.0,93,100,4.61,CA,overcast clouds
