City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kodiak,57.79,-152.4072,33.8,80,1,2.84,US,2021-02-03 22:16:23
1,Rawson,-43.3002,-65.1023,84.09,24,74,8.08,AR,2021-02-03 22:16:23
2,Porbandar,21.6422,69.6093,64.76,79,0,7.85,IN,2021-02-03 22:16:23
3,Pusad,19.9,77.5833,63.01,29,0,3.22,IN,2021-02-03 22:16:24
4,Tuktoyaktuk,69.4541,-133.0374,-40.0,67,20,5.75,CA,2021-02-03 22:16:24
5,Port Elizabeth,-33.918,25.5701,68.0,94,40,10.36,ZA,2021-02-03 22:13:38
6,Holt,42.6406,-84.5153,33.8,51,1,5.75,US,2021-02-03 22:16:24
7,Klaksvik,62.2266,-6.589,32.0,74,25,5.75,FO,2021-02-03 22:16:24
8,Jamestown,42.097,-79.2353,28.99,74,1,12.66,US,2021-02-03 22:16:25
9,Mataura,-46.1927,168.8643,56.62,53,41,6.96,NZ,2021-02-03 22:16:25
10,Hithadhoo,-0.6,73.0833,82.58,74,95,9.04,MV,2021-02-03 22:16:25
11,Rikitea,-23.1203,-134.9692,78.15,69,0,12.19,PF,2021-02-03 22:16:25
12,Mujiayingzi,42.1167,118.7833,10.45,85,0,10.09,CN,2021-02-03 22:16:26
13,Alofi,-19.0595,-169.9187,80.33,82,100,18.7,NU,2021-02-03 22:15:20
14,Kruisfontein,-34.0033,24.7314,69.01,82,0,1.99,ZA,2021-02-03 22:16:26
15,Namatanai,-3.6667,152.4333,82.11,76,91,3.62,PG,2021-02-03 22:16:26
16,Nome,64.5011,-165.4064,-2.2,55,20,13.8,US,2021-02-03 22:16:27
17,Saint Anthony,45.0205,-93.218,37.4,69,1,16.11,US,2021-02-03 22:11:47
18,Caravelas,-17.7125,-39.2481,77.43,82,31,7.25,BR,2021-02-03 22:16:27
19,Hofn,64.2539,-15.2082,30.45,93,99,14.32,IS,2021-02-03 22:16:27
20,Port Alfred,-33.5906,26.891,70.0,93,0,1.99,ZA,2021-02-03 22:16:27
21,Marrakesh,31.6315,-8.0083,57.2,77,8,3.44,MA,2021-02-03 22:15:47
22,Torbat-E Jam,35.244,60.6225,40.37,68,0,1.54,IR,2021-02-03 22:16:27
23,Busselton,-33.65,115.3333,50.0,85,0,15.95,AU,2021-02-03 22:16:27
24,Albany,42.6001,-73.9662,30.0,66,100,11.99,US,2021-02-03 22:14:43
25,Lafiagi,8.8667,5.4167,85.46,19,10,1.45,NG,2021-02-03 22:16:28
26,Arraial Do Cabo,-22.9661,-42.0278,82.4,78,0,21.85,BR,2021-02-03 22:16:28
27,Bonavista,48.6499,-53.1147,42.01,100,100,4.61,CA,2021-02-03 22:16:28
28,Kaseda,31.4167,130.3167,35.6,87,40,4.61,JP,2021-02-03 22:16:28
29,Hermanus,-34.4187,19.2345,61.0,91,8,1.99,ZA,2021-02-03 22:13:18
30,Constitucion,-35.3333,-72.4167,70.5,54,0,12.57,CL,2021-02-03 22:15:56
31,Lavrentiya,65.5833,-171.0,-12.14,85,0,15.86,RU,2021-02-03 22:16:29
32,Barrow,71.2906,-156.7887,-23.8,76,1,14.97,US,2021-02-03 22:15:03
33,Lorengau,-2.0226,147.2712,82.04,73,70,1.07,PG,2021-02-03 22:16:29
34,Punta Arenas,-53.15,-70.9167,62.6,63,40,18.41,CL,2021-02-03 22:12:24
35,Sola,-13.8833,167.55,81.68,79,100,13.6,VU,2021-02-03 22:16:29
36,Beloha,-25.1667,45.05,77.49,69,0,10.45,MG,2021-02-03 22:16:29
37,Alice Springs,-23.7,133.8833,84.99,18,54,1.14,AU,2021-02-03 22:16:29
38,Pagudpud,18.5616,120.7868,64.4,94,20,3.44,PH,2021-02-03 22:16:29
39,Cheyenne,41.14,-104.8203,51.8,30,20,28.77,US,2021-02-03 22:12:23
40,Balabac,7.9868,117.0645,81.1,80,100,18.32,PH,2021-02-03 22:16:29
41,Half Moon Bay,37.4636,-122.4286,57.99,67,1,5.75,US,2021-02-03 22:16:30
42,Ust-Nera,64.5667,143.2,-24.21,77,95,4.0,RU,2021-02-03 22:16:30
43,Ushuaia,-54.8,-68.3,53.6,58,75,5.75,AR,2021-02-03 22:15:15
44,Labuhan,-6.8844,112.2051,77.76,86,87,11.68,ID,2021-02-03 22:16:30
45,Cabo San Lucas,22.8909,-109.9124,84.2,30,20,8.05,MX,2021-02-03 22:16:30
46,Conakry,9.538,-13.6773,80.6,78,0,9.22,GN,2021-02-03 22:11:52
47,Yozgat,39.5833,35.3333,39.78,71,100,2.06,TR,2021-02-03 22:16:31
48,Uyskoye,54.3775,60.0047,13.41,95,100,2.93,RU,2021-02-03 22:16:31
49,Atuona,-9.8,-139.0333,78.01,72,1,10.78,PF,2021-02-03 22:16:16
50,Aklavik,68.2191,-135.0107,-38.2,67,1,2.3,CA,2021-02-03 22:16:31
51,East London,-33.0153,27.9116,75.67,80,1,10.38,ZA,2021-02-03 22:16:31
52,Aksu,41.1231,80.2644,22.21,86,0,0.65,CN,2021-02-03 22:16:31
53,Manta,-0.95,-80.7333,80.6,78,75,14.97,EC,2021-02-03 22:16:31
54,Kahului,20.8947,-156.47,73.4,78,90,21.85,US,2021-02-03 22:16:31
55,Bredasdorp,-34.5322,20.0403,59.0,88,1,6.91,ZA,2021-02-03 22:16:31
56,Cidreira,-30.1811,-50.2056,76.51,93,100,6.51,BR,2021-02-03 22:16:32
57,Udachnyy,66.4167,112.4,-23.3,84,100,2.8,RU,2021-02-03 22:16:32
58,Acapulco,16.8634,-99.8901,84.2,65,40,8.05,MX,2021-02-03 22:16:32
59,Mongo,12.1844,18.693,72.72,20,24,7.74,TD,2021-02-03 22:16:32
60,Tomatlan,19.9333,-105.25,85.68,49,19,7.58,MX,2021-02-03 22:16:32
61,Gushikawa,26.3544,127.8686,59.0,87,1,5.75,JP,2021-02-03 22:16:32
62,Kiama,-34.6833,150.8667,75.0,72,8,5.99,AU,2021-02-03 22:16:32
63,Katsuura,35.1333,140.3,46.4,57,20,21.85,JP,2021-02-03 22:16:32
64,Yulara,-25.2406,130.9889,86.0,21,87,10.36,AU,2021-02-03 22:16:32
65,New Milford,40.9327,-74.0179,35.6,55,90,13.8,US,2021-02-03 22:16:33
66,Upernavik,72.7868,-56.1549,-14.55,71,10,5.35,GL,2021-02-03 22:16:33
67,Tuatapere,-46.1333,167.6833,56.61,59,30,7.31,NZ,2021-02-03 22:16:33
68,Chuy,-33.6971,-53.4616,69.66,96,100,21.68,UY,2021-02-03 22:16:08
69,Bethel,41.3712,-73.414,32.0,94,97,1.01,US,2021-02-03 22:12:06
70,Tasiilaq,65.6145,-37.6368,27.03,97,100,27.0,GL,2021-02-03 22:16:33
71,Sitka,57.0531,-135.33,37.4,75,90,8.05,US,2021-02-03 22:16:33
72,Cap Malheureux,-19.9842,57.6142,75.2,88,75,5.75,MU,2021-02-03 22:16:33
73,Formosa,-26.1775,-58.1781,77.0,88,75,5.75,AR,2021-02-03 22:16:33
74,Carballo,43.213,-8.691,51.01,81,2,3.0,ES,2021-02-03 22:16:09
75,Mayo,38.8876,-76.5119,39.99,56,20,9.22,US,2021-02-03 22:16:34
76,May Pen,17.9645,-77.2451,80.6,61,20,17.27,JM,2021-02-03 22:16:34
77,Kaitangata,-46.2817,169.8464,55.0,58,81,7.0,NZ,2021-02-03 22:16:34
78,Vaini,-21.2,-175.2,82.4,89,75,10.36,TO,2021-02-03 22:16:34
79,Cherskiy,68.75,161.3,10.33,85,100,6.87,RU,2021-02-03 22:16:34
80,Yaan,7.3833,8.5667,80.44,16,7,3.29,NG,2021-02-03 22:16:34
81,Komsomolskiy,40.4272,71.7189,33.8,75,0,6.91,UZ,2021-02-03 22:16:35
82,Hualmay,-11.0964,-77.6139,73.94,67,70,7.52,PE,2021-02-03 22:16:35
83,Zaysan,47.4667,84.8667,19.0,95,100,1.63,KZ,2021-02-03 22:16:35
84,Hilo,19.7297,-155.09,84.2,39,1,11.5,US,2021-02-03 22:13:11
85,Thompson,55.7435,-97.8558,1.4,78,90,14.97,CA,2021-02-03 22:16:35
86,Norman Wells,65.282,-126.8329,-32.8,68,75,10.36,CA,2021-02-03 22:16:35
87,Bluff,-46.6,168.3333,54.03,66,64,16.11,NZ,2021-02-03 22:16:29
88,Butaritari,3.0707,172.7902,81.5,84,72,17.76,KI,2021-02-03 22:16:35
89,New Norfolk,-42.7826,147.0587,59.0,89,86,5.01,AU,2021-02-03 22:16:35
90,Torbay,47.6666,-52.7314,44.01,100,90,25.32,CA,2021-02-03 22:16:35
91,Mangrol,21.1167,70.1167,66.58,59,0,8.41,IN,2021-02-03 22:16:36
92,El Carmen,8.5106,-73.4478,81.86,50,90,3.6,CO,2021-02-03 22:16:36
93,Dubbo,-32.25,148.6167,71.6,73,40,10.36,AU,2021-02-03 22:14:17
94,Avarua,-21.2078,-159.775,84.2,70,23,8.05,CK,2021-02-03 22:16:36
95,Bathsheba,13.2167,-59.5167,78.8,69,20,25.32,BB,2021-02-03 22:16:36
96,Belgrade,44.804,20.4651,51.01,76,0,8.05,RS,2021-02-03 22:15:03
97,Itoman,26.1247,127.6694,59.0,72,20,9.22,JP,2021-02-03 22:16:36
98,Kopervik,59.2835,5.3067,26.01,63,0,9.22,NO,2021-02-03 22:12:36
99,Nizhniy Ingash,56.2,96.53,15.85,95,95,8.72,RU,2021-02-03 22:16:37
100,Mecca,21.4267,39.8261,75.76,74,0,3.0,SA,2021-02-03 22:15:05
101,Paita,-5.0892,-81.1144,78.8,65,0,13.8,PE,2021-02-03 22:12:33
102,Mehamn,71.0357,27.8492,30.2,69,90,26.46,NO,2021-02-03 22:11:50
103,Llanes,43.4198,-4.7549,57.99,72,81,5.01,ES,2021-02-03 22:16:38
104,Deputatskiy,69.3,139.9,-22.7,89,100,3.29,RU,2021-02-03 22:12:17
105,Saint-Philippe,-21.3585,55.7679,77.0,78,0,3.44,RE,2021-02-03 22:16:20
106,Gigmoto,13.7796,124.39,77.43,85,97,17.54,PH,2021-02-03 22:16:39
107,Lagoa,39.05,-27.9833,54.48,65,67,30.2,PT,2021-02-03 22:16:39
108,Bayanday,53.0661,105.5139,15.44,92,100,4.81,RU,2021-02-03 22:16:39
109,Hobart,-42.8794,147.3294,60.01,94,75,5.75,AU,2021-02-03 22:14:01
110,Rafai,4.95,23.9167,76.89,31,10,2.37,CF,2021-02-03 22:16:39
111,Panaba,21.2833,-88.2667,73.0,52,0,7.72,MX,2021-02-03 22:16:40
112,Raub,3.7899,101.857,69.3,89,100,2.75,MY,2021-02-03 22:16:40
113,Xining,36.6167,101.7667,21.83,68,100,1.57,CN,2021-02-03 22:16:41
114,Sorland,67.667,12.6934,19.4,86,40,2.3,NO,2021-02-03 22:11:44
115,Kapaa,22.0752,-159.319,71.6,88,40,9.22,US,2021-02-03 22:16:23
116,Magadan,59.5667,150.8,-3.89,82,77,11.41,RU,2021-02-03 22:16:41
117,Ust-Uda,54.1742,103.0304,12.4,95,100,5.66,RU,2021-02-03 22:16:41
118,Liusha,27.2098,108.59,43.27,98,100,3.85,CN,2021-02-03 22:16:41
119,Aranos,-24.1333,19.1167,77.02,27,82,8.97,NA,2021-02-03 22:16:42
120,Tainan,22.9908,120.2133,53.6,87,40,4.61,TW,2021-02-03 22:16:42
121,Guarapari,-20.6667,-40.4975,80.6,78,0,13.8,BR,2021-02-03 22:16:42
122,Poquoson,37.1224,-76.3458,45.0,39,75,4.61,US,2021-02-03 22:16:42
123,Puerto Ayora,-0.7393,-90.3518,84.2,65,0,10.36,EC,2021-02-03 22:16:42
124,Saint George,37.1041,-113.5841,66.99,29,1,17.27,US,2021-02-03 22:16:42
125,Tazmalt,36.3868,4.3989,57.92,46,100,5.39,DZ,2021-02-03 22:16:42
126,Diffa,13.3154,12.6113,71.29,19,0,10.65,NE,2021-02-03 22:13:29
